,lat,long,problem,incidencia,fecha,anio,mes,dia,ciclo
0,27.34440041,-109.93435670000001,Roya Lineal,0.01,3/17/14,2014,3,17,Ciclo 2013-2014
1,27.26371574,-109.8471375,Roya Lineal,0.01,2/20/14,2014,2,20,Ciclo 2013-2014
2,27.22597122,-109.8559723,Roya Lineal,0.01,2/27/14,2014,2,27,Ciclo 2013-2014
3,27.19866753,-109.8906479,Roya Lineal,0.04,2/4/14,2014,2,4,Ciclo 2013-2014
4,27.47404099,-110.11666869999999,Roya Lineal,0.01,3/4/14,2014,3,4,Ciclo 2013-2014
5,27.53913498,-109.9816132,Roya Lineal,0.02,3/3/14,2014,3,3,Ciclo 2013-2014
6,27.44616508,-110.00850679999999,Roya Lineal,0.01,3/5/14,2014,3,5,Ciclo 2013-2014
7,27.4419632,-110.0156555,Roya Lineal,0.02,2/25/14,2014,2,25,Ciclo 2013-2014
8,27.44543076,-110.1793747,Roya Lineal,0.01,3/4/14,2014,3,4,Ciclo 2013-2014
9,27.24565315,-109.76322169999999,Roya Lineal,0.01,2/26/14,2014,2,26,Ciclo 2013-2014
10,27.12684822,-109.77305600000001,Roya Lineal,0.01,3/5/14,2014,3,5,Ciclo 2013-2014
11,27.17297935,-109.82129669999999,Roya Lineal,0.01,3/5/14,2014,3,5,Ciclo 2013-2014
12,27.20516586,-109.8308868,Roya Lineal,0.01,3/5/14,2014,3,5,Ciclo 2013-2014
13,27.23811913,-109.78388980000001,Roya Lineal,0.02,3/19/14,2014,3,19,Ciclo 2013-2014
14,27.24871063,-109.99439240000001,Roya Lineal,0.03,3/4/14,2014,3,4,Ciclo 2013-2014
15,27.25335693,-110.1326294,Roya Lineal,0.01,2/25/14,2014,2,25,Ciclo 2013-2014
16,27.23604012,-110.0158844,Roya Lineal,0.01,3/4/14,2014,3,4,Ciclo 2013-2014
17,27.29873085,-110.0553513,Roya Lineal,0.02,2/24/14,2014,2,24,Ciclo 2013-2014
18,27.21675682,-110.0630569,Roya Lineal,0.01,3/6/14,2014,3,6,Ciclo 2013-2014
19,27.46354866,-109.97883610000001,Roya Lineal,0.03,3/17/14,2014,3,17,Ciclo 2013-2014
20,27.42824173,-109.9811096,Roya Lineal,0.1,2/17/14,2014,2,17,Ciclo 2013-2014
21,27.42778778,-109.9577179,Roya Lineal,0.02,3/24/14,2014,3,24,Ciclo 2013-2014
22,27.35835648,-109.9731369,Roya Lineal,0.03,3/27/14,2014,3,27,Ciclo 2013-2014
23,27.37332535,-109.88813020000002,Roya Lineal,0.01,3/19/14,2014,3,19,Ciclo 2013-2014
24,27.29929733,-110.21150209999999,Roya Lineal,0.05,2/27/14,2014,2,27,Ciclo 2013-2014
25,27.40916824,-110.25253300000001,Roya Lineal,0.02,3/12/14,2014,3,12,Ciclo 2013-2014
26,27.04459763,-109.78614040000001,Roya Lineal,0.01,2/25/14,2014,2,25,Ciclo 2013-2014
27,27.05269814,-109.8864517,Roya Lineal,0.05,3/21/14,2014,3,21,Ciclo 2013-2014
28,27.14121056,-109.93304440000001,Roya Lineal,0.03,2/26/14,2014,2,26,Ciclo 2013-2014
29,27.07551575,-109.8689423,Roya Lineal,0.01,2/19/14,2014,2,19,Ciclo 2013-2014
30,27.09779739,-109.87179569999999,Roya Lineal,0.02,3/20/14,2014,3,20,Ciclo 2013-2014
31,27.39974785,-110.11633300000001,Roya Lineal,0.01,3/4/14,2014,3,4,Ciclo 2013-2014
32,27.31826401,-110.01552579999999,Roya Lineal,0.01,2/24/14,2014,2,24,Ciclo 2013-2014
33,27.31839752,-110.0704727,Roya Lineal,0.01,2/24/14,2014,2,24,Ciclo 2013-2014
34,27.39070702,-110.0953827,Roya Lineal,0.02,3/17/14,2014,3,17,Ciclo 2013-2014
35,27.39173508,-110.1996307,Roya Lineal,0.05,3/19/14,2014,3,19,Ciclo 2013-2014
36,27.318054200000002,-109.8913879,Roya Lineal,0.01,2/27/14,2014,2,27,Ciclo 2013-2014
37,27.34447861,-109.9121933,Roya Lineal,0.03,2/25/14,2014,2,25,Ciclo 2013-2014
38,27.28074074,-109.8772354,Roya Lineal,0.01,2/27/14,2014,2,27,Ciclo 2013-2014
39,27.24390602,-109.89202879999999,Roya Lineal,0.01,2/13/14,2014,2,13,Ciclo 2013-2014
40,27.31865883,-109.86097720000001,Roya Lineal,0.01,3/4/14,2014,3,4,Ciclo 2013-2014
41,27.31731224,-109.85189820000001,Roya Lineal,0.01,2/25/14,2014,2,25,Ciclo 2013-2014
42,27.25561142,-109.9283447,Roya Lineal,0.03,2/27/14,2014,2,27,Ciclo 2013-2014
43,27.23874092,-109.9326935,Roya Lineal,0.03,3/17/14,2014,3,17,Ciclo 2013-2014
44,27.34547043,-109.9740753,Roya Lineal,0.01,3/4/14,2014,3,4,Ciclo 2013-2014
45,27.33172798,-109.9326324,Roya Lineal,0.03,3/17/14,2014,3,17,Ciclo 2013-2014
46,27.34500694,-109.93083190000002,Roya Lineal,0.06,3/4/14,2014,3,4,Ciclo 2013-2014
47,27.33510208,-109.91317749999999,Roya Lineal,0.01,2/25/14,2014,2,25,Ciclo 2013-2014
48,27.33437157,-109.9118729,Roya Lineal,0.01,2/25/14,2014,2,25,Ciclo 2013-2014
49,27.29029083,-109.85288999999999,Roya Lineal,0.01,2/27/14,2014,2,27,Ciclo 2013-2014
50,27.21655464,-109.88282009999999,Roya Lineal,0.01,2/27/14,2014,2,27,Ciclo 2013-2014
51,26.83934021,-109.6525879,Roya Lineal,0.08,3/25/14,2014,3,25,Ciclo 2013-2014
52,27.46277046,-110.16121670000001,Roya Lineal,0.03,3/20/14,2014,3,20,Ciclo 2013-2014
53,27.41823006,-110.15502169999999,Roya Lineal,0.01,3/10/14,2014,3,10,Ciclo 2013-2014
54,27.45974922,-110.1207199,Roya Lineal,0.02,3/20/14,2014,3,20,Ciclo 2013-2014
55,27.42844582,-110.1165009,Roya Lineal,0.01,3/4/14,2014,3,4,Ciclo 2013-2014
56,27.41655922,-110.11509699999999,Roya Lineal,0.01,3/20/14,2014,3,20,Ciclo 2013-2014
57,27.42264748,-110.136734,Roya Lineal,0.01,3/10/14,2014,3,10,Ciclo 2013-2014
58,27.41007233,-110.091835,Roya Lineal,0.01,2/24/14,2014,2,24,Ciclo 2013-2014
59,27.50275993,-110.11251829999999,Roya Lineal,0.01,3/20/14,2014,3,20,Ciclo 2013-2014
60,27.44667816,-110.01400759999999,Roya Lineal,0.01,2/25/14,2014,2,25,Ciclo 2013-2014
61,27.46507835,-110.07022090000001,Roya Lineal,0.01,3/10/14,2014,3,10,Ciclo 2013-2014
62,27.54932785,-110.00524140000002,Roya Lineal,0.01,2/24/14,2014,2,24,Ciclo 2013-2014
63,27.54534912,-110.01127620000001,Roya Lineal,0.01,3/10/14,2014,3,10,Ciclo 2013-2014
64,27.44857979,-110.05966950000001,Roya Lineal,0.01,3/20/14,2014,3,20,Ciclo 2013-2014
65,27.49445343,-110.05519869999999,Roya Lineal,0.01,3/10/14,2014,3,10,Ciclo 2013-2014
66,26.93510437,-109.5913925,Roya Lineal,0.01,3/13/14,2014,3,13,Ciclo 2013-2014
67,26.94655991,-109.76078030000001,Roya Lineal,0.01,3/5/14,2014,3,5,Ciclo 2013-2014
68,26.91483116,-109.58095549999999,Roya Lineal,0.01,3/27/14,2014,3,27,Ciclo 2013-2014
69,27.31889725,-110.1792145,Roya Lineal,0.01,2/26/14,2014,2,26,Ciclo 2013-2014
70,27.30349922,-110.11792759999999,Roya Lineal,0.01,2/24/14,2014,2,24,Ciclo 2013-2014
71,27.29880524,-110.1587753,Roya Lineal,0.05,2/19/14,2014,2,19,Ciclo 2013-2014
72,27.28281212,-110.17936709999998,Roya Lineal,0.04,2/26/14,2014,2,26,Ciclo 2013-2014
73,27.48218536,-109.94558719999999,Roya Lineal,0.01,2/26/14,2014,2,26,Ciclo 2013-2014
74,27.39051056,-110.1776962,Roya Lineal,0.03,2/26/14,2014,2,26,Ciclo 2013-2014
75,27.37216377,-110.17945859999999,Roya Lineal,0.09,2/19/14,2014,2,19,Ciclo 2013-2014
76,27.38140297,-110.05490879999999,Roya Lineal,0.04,3/27/14,2014,3,27,Ciclo 2013-2014
77,27.35358047,-110.0489578,Roya Lineal,0.01,2/18/14,2014,2,18,Ciclo 2013-2014
78,27.31720161,-110.0369568,Roya Lineal,0.11,2/24/14,2014,2,24,Ciclo 2013-2014
79,27.31712532,-109.9847412,Roya Lineal,0.01,2/24/14,2014,2,24,Ciclo 2013-2014
80,27.3172226,-110.09191129999999,Roya Lineal,0.01,2/17/14,2014,2,17,Ciclo 2013-2014
81,27.40825272,-109.994339,Roya Lineal,0.01,2/18/14,2014,2,18,Ciclo 2013-2014
82,27.35516167,-110.11788940000001,Roya Lineal,0.03,3/3/14,2014,3,3,Ciclo 2013-2014
83,27.35366631,-110.09714509999999,Roya Lineal,0.01,2/25/14,2014,2,25,Ciclo 2013-2014
84,27.42078018,-110.0546875,Roya Lineal,0.01,3/3/14,2014,3,3,Ciclo 2013-2014
85,27.12570572,-109.67746729999999,Roya Lineal,0.01,3/3/14,2014,3,3,Ciclo 2013-2014
86,27.04484177,-109.70374299999999,Roya Lineal,0.11,2/24/14,2014,2,24,Ciclo 2013-2014
87,27.11715317,-109.82556149999999,Roya Lineal,0.01,2/24/14,2014,2,24,Ciclo 2013-2014
88,27.117057799999998,-109.83585359999998,Roya Lineal,0.01,3/3/14,2014,3,3,Ciclo 2013-2014
89,27.11224365,-109.8441544,Roya Lineal,0.18,2/25/14,2014,2,25,Ciclo 2013-2014
90,27.11675072,-109.6918182,Roya Lineal,0.01,3/3/14,2014,3,3,Ciclo 2013-2014
91,27.15481758,-109.91355130000001,Roya Lineal,0.03,2/26/14,2014,2,26,Ciclo 2013-2014
92,27.14523888,-109.8996277,Roya Lineal,0.05,2/26/14,2014,2,26,Ciclo 2013-2014
93,27.01887321,-109.78929140000001,Roya Lineal,0.05,3/4/14,2014,3,4,Ciclo 2013-2014
94,27.02685928,-109.76311489999999,Roya Lineal,0.23,2/25/14,2014,2,25,Ciclo 2013-2014
95,27.08796883,-109.9227142,Roya Lineal,0.01,4/9/14,2014,4,9,Ciclo 2013-2014
96,27.10916519,-109.933136,Roya Lineal,0.02,2/26/14,2014,2,26,Ciclo 2013-2014
97,27.05263329,-109.88691709999999,Roya Lineal,0.01,3/11/14,2014,3,11,Ciclo 2013-2014
98,27.00354576,-109.7232742,Roya Lineal,0.03,3/18/14,2014,3,18,Ciclo 2013-2014
99,26.98488426,-109.750679,Roya Lineal,0.01,2/25/14,2014,2,25,Ciclo 2013-2014
100,27.19041252,-109.8493118,Roya Lineal,0.09,2/27/14,2014,2,27,Ciclo 2013-2014
101,27.16207886,-109.8536987,Roya Lineal,0.03,2/27/14,2014,2,27,Ciclo 2013-2014
102,27.17182159,-109.7989578,Roya Lineal,0.04,2/26/14,2014,2,26,Ciclo 2013-2014
103,27.18240547,-109.7073364,Roya Lineal,0.03,2/19/14,2014,2,19,Ciclo 2013-2014
104,27.2374649,-109.73375700000001,Roya Lineal,0.01,2/26/14,2014,2,26,Ciclo 2013-2014
105,27.21319771,-109.8296432,Roya Lineal,0.04,2/11/14,2014,2,11,Ciclo 2013-2014
106,27.2269783,-109.93406680000001,Roya Lineal,0.02,2/25/14,2014,2,25,Ciclo 2013-2014
107,27.20864105,-109.9743881,Roya Lineal,0.01,2/17/14,2014,2,17,Ciclo 2013-2014
108,27.22007179,-109.99863429999999,Roya Lineal,0.04,2/25/14,2014,2,25,Ciclo 2013-2014
109,27.22689819,-109.97249599999999,Roya Lineal,0.06,2/25/14,2014,2,25,Ciclo 2013-2014
110,27.22756958,-109.9782791,Roya Lineal,0.03,2/25/14,2014,2,25,Ciclo 2013-2014
111,27.28040123,-110.07317350000001,Roya Lineal,0.02,3/5/14,2014,3,5,Ciclo 2013-2014
112,27.28630829,-110.0763092,Roya Lineal,0.01,3/5/14,2014,3,5,Ciclo 2013-2014
113,27.2156353,-110.075676,Roya Lineal,0.03,2/19/14,2014,2,19,Ciclo 2013-2014
114,27.2530098,-110.01563259999999,Roya Lineal,0.04,3/4/14,2014,3,4,Ciclo 2013-2014
115,27.2537365,-110.0899811,Roya Lineal,0.02,2/26/14,2014,2,26,Ciclo 2013-2014
116,27.21260452,-110.0353775,Roya Lineal,0.02,3/6/14,2014,3,6,Ciclo 2013-2014
117,27.19993973,-110.05191040000001,Roya Lineal,0.17,2/12/14,2014,2,12,Ciclo 2013-2014
118,27.22725487,-110.07621770000002,Roya Lineal,0.02,2/26/14,2014,2,26,Ciclo 2013-2014
119,27.28177452,-110.0701294,Roya Lineal,0.01,2/24/14,2014,2,24,Ciclo 2013-2014
120,27.318159100000003,-110.2345352,Roya Lineal,0.02,3/11/14,2014,3,11,Ciclo 2013-2014
121,27.28179169,-110.265831,Roya Lineal,0.01,3/11/14,2014,3,11,Ciclo 2013-2014
122,27.28105164,-110.27622990000002,Roya Lineal,0.01,3/11/14,2014,3,11,Ciclo 2013-2014
123,27.27165604,-110.28147890000001,Roya Lineal,0.01,3/11/14,2014,3,11,Ciclo 2013-2014
124,27.30379295,-110.216774,Roya Lineal,0.05,2/5/14,2014,2,5,Ciclo 2013-2014
125,27.28022385,-110.20793909999998,Roya Lineal,0.03,2/25/14,2014,2,25,Ciclo 2013-2014
126,27.44652748,-110.2376328,Roya Lineal,0.01,3/6/14,2014,3,6,Ciclo 2013-2014
127,27.31868172,-110.20566559999999,Roya Lineal,0.01,2/27/14,2014,2,27,Ciclo 2013-2014
128,27.37332916,-110.2909088,Roya Lineal,0.03,3/6/14,2014,3,6,Ciclo 2013-2014
129,26.9463501,-109.50019070000002,Roya Lineal,0.28,2/24/14,2014,2,24,Ciclo 2013-2014
130,26.93413162,-109.49881740000001,Roya Lineal,0.02,3/3/14,2014,3,3,Ciclo 2013-2014
131,27.01829147,-109.4777145,Roya Lineal,0.17,3/4/14,2014,3,4,Ciclo 2013-2014
132,26.98257256,-109.4775314,Roya Lineal,0.02,3/4/14,2014,3,4,Ciclo 2013-2014
133,27.00253105,-109.6691132,Roya Lineal,0.2,2/26/14,2014,2,26,Ciclo 2013-2014
134,26.98133278,-109.50546259999999,Roya Lineal,0.12,3/4/14,2014,3,4,Ciclo 2013-2014
135,27.00120163,-109.6913605,Roya Lineal,0.02,2/25/14,2014,2,25,Ciclo 2013-2014
136,26.98920059,-109.6748047,Roya Lineal,0.03,2/25/14,2014,2,25,Ciclo 2013-2014
137,27.05153465,-109.59249109999999,Roya Lineal,0.01,2/28/14,2014,2,28,Ciclo 2013-2014
138,27.04298592,-109.6048203,Roya Lineal,0.14,2/27/14,2014,2,27,Ciclo 2013-2014
139,27.06048203,-109.670845,Roya Lineal,0.11,2/26/14,2014,2,26,Ciclo 2013-2014
140,27.04561424,-109.649437,Roya Lineal,0.14,2/27/14,2014,2,27,Ciclo 2013-2014
141,27.63631058,-110.4309311,Roya Lineal,0.1,3/28/14,2014,3,28,Ciclo 2013-2014
142,27.64660835,-110.40861509999998,Roya Lineal,0.09,3/13/14,2014,3,13,Ciclo 2013-2014
143,27.637353899999997,-110.2984238,Roya Lineal,0.14,3/12/14,2014,3,12,Ciclo 2013-2014
144,27.64795685,-110.308136,Roya Lineal,0.1,4/2/14,2014,4,2,Ciclo 2013-2014
145,27.66081238,-110.32293700000001,Roya Lineal,0.05,3/12/14,2014,3,12,Ciclo 2013-2014
146,27.55720901,-110.11759950000001,Roya Lineal,0.5,3/21/14,2014,3,21,Ciclo 2013-2014
147,27.54750633,-110.1102905,Roya Lineal,0.06,3/15/14,2014,3,15,Ciclo 2013-2014
148,27.56839752,-110.0886993,Roya Lineal,0.08,3/21/14,2014,3,21,Ciclo 2013-2014
149,27.57033348,-110.11418909999998,Roya Lineal,0.1,3/21/14,2014,3,21,Ciclo 2013-2014
150,26.78440094,-109.6971741,Roya Lineal,0.01,3/5/14,2014,3,5,Ciclo 2013-2014
151,26.89413643,-109.62402340000001,Roya Lineal,0.01,2/24/14,2014,2,24,Ciclo 2013-2014
152,26.88301849,-109.65615079999999,Roya Lineal,0.01,3/11/14,2014,3,11,Ciclo 2013-2014
153,26.86600876,-109.6990433,Roya Lineal,0.05,3/3/14,2014,3,3,Ciclo 2013-2014
154,26.85846901,-109.6973343,Roya Lineal,0.02,3/11/14,2014,3,11,Ciclo 2013-2014
155,26.87040138,-109.7142105,Roya Lineal,0.4,3/11/14,2014,3,11,Ciclo 2013-2014
156,26.87572861,-109.73925020000001,Roya Lineal,0.02,3/4/14,2014,3,4,Ciclo 2013-2014
157,26.84332848,-109.71575929999999,Roya Lineal,0.01,2/25/14,2014,2,25,Ciclo 2013-2014
158,26.82812691,-109.7146301,Roya Lineal,0.01,3/4/14,2014,3,4,Ciclo 2013-2014
159,26.79918671,-109.72817990000001,Roya Lineal,0.01,2/26/14,2014,2,26,Ciclo 2013-2014
160,26.80641174,-109.715744,Roya Lineal,0.01,3/4/14,2014,3,4,Ciclo 2013-2014
161,26.78112602,-109.693634,Roya Lineal,0.01,3/13/14,2014,3,13,Ciclo 2013-2014
162,26.80204964,-109.7394791,Roya Lineal,0.01,3/19/14,2014,3,19,Ciclo 2013-2014
163,26.84972572,-109.7433014,Roya Lineal,0.04,3/17/14,2014,3,17,Ciclo 2013-2014
164,26.41504478,-109.0319138,Roya Lineal,0.01,4/11/14,2014,4,11,Ciclo 2013-2014
165,26.85216331,-109.7454834,Roya Lineal,0.01,2/25/14,2014,2,25,Ciclo 2013-2014
166,26.4140358,-109.0336075,Roya Lineal,0.02,4/2/14,2014,4,2,Ciclo 2013-2014
167,26.79869461,-109.74974820000001,Roya Lineal,0.05,3/19/14,2014,3,19,Ciclo 2013-2014
168,26.78266144,-109.65071110000001,Roya Lineal,0.02,3/27/14,2014,3,27,Ciclo 2013-2014
169,26.46178818,-109.0615005,Roya Lineal,0.03,3/6/14,2014,3,6,Ciclo 2013-2014
170,27.71055984,-109.9258957,Roya Lineal,0.1,3/22/14,2014,3,22,Ciclo 2013-2014
171,27.6066761,-110.01684569999999,Roya Lineal,0.1,3/7/14,2014,3,7,Ciclo 2013-2014
172,27.57733727,-110.0711517,Roya Lineal,0.11,3/21/14,2014,3,21,Ciclo 2013-2014
173,27.58787537,-110.0396729,Roya Lineal,0.01,3/12/14,2014,3,12,Ciclo 2013-2014
174,26.43491936,-109.0414581,Roya Lineal,0.02,3/5/14,2014,3,5,Ciclo 2013-2014
175,27.69350052,-109.91275790000002,Roya Lineal,0.04,3/14/14,2014,3,14,Ciclo 2013-2014
176,27.40854073,-109.8846054,Roya Lineal,0.04,3/19/14,2014,3,19,Ciclo 2013-2014
177,27.39126015,-109.91304779999999,Roya Lineal,0.02,4/2/14,2014,4,2,Ciclo 2013-2014
178,27.400722499999997,-109.8922043,Roya Lineal,0.03,3/12/14,2014,3,12,Ciclo 2013-2014
179,27.37692642,-109.91259769999999,Roya Lineal,0.04,3/19/14,2014,3,19,Ciclo 2013-2014
180,27.37351036,-109.97345729999999,Roya Lineal,0.03,3/26/14,2014,3,26,Ciclo 2013-2014
181,27.3862648,-109.91259769999999,Roya Lineal,0.08,2/26/14,2014,2,26,Ciclo 2013-2014
182,27.41002846,-109.94001010000001,Roya Lineal,0.05,3/4/14,2014,3,4,Ciclo 2013-2014
183,27.41836929,-109.9274368,Roya Lineal,0.02,3/18/14,2014,3,18,Ciclo 2013-2014
184,27.42879486,-109.9216614,Roya Lineal,0.02,3/25/14,2014,3,25,Ciclo 2013-2014
185,27.50683403,-109.89314270000001,Roya Lineal,0.11,3/7/14,2014,3,7,Ciclo 2013-2014
186,27.47478867,-109.99398799999999,Roya Lineal,0.02,3/31/14,2014,3,31,Ciclo 2013-2014
187,27.42680168,-109.94213870000002,Roya Lineal,0.01,3/25/14,2014,3,25,Ciclo 2013-2014
188,27.47144318,-110.01325990000002,Roya Lineal,0.02,3/31/14,2014,3,31,Ciclo 2013-2014
189,27.35769463,-109.83038329999998,Roya Lineal,0.02,4/3/14,2014,4,3,Ciclo 2013-2014
190,27.64051819,-110.3684769,Roya Lineal,0.05,3/7/14,2014,3,7,Ciclo 2013-2014
191,27.62930679,-110.2867508,Roya Lineal,0.1,4/2/14,2014,4,2,Ciclo 2013-2014
192,27.60495377,-110.3118896,Roya Lineal,0.15,3/18/14,2014,3,18,Ciclo 2013-2014
193,27.14391136,-109.79598999999999,Roya Lineal,0.05,3/19/14,2014,3,19,Ciclo 2013-2014
194,27.17173767,-109.83296969999999,Roya Lineal,0.01,3/5/14,2014,3,5,Ciclo 2013-2014
195,27.15846825,-109.83009340000001,Roya Lineal,0.01,2/27/14,2014,2,27,Ciclo 2013-2014
196,27.13083649,-109.76872250000001,Roya Lineal,0.03,3/19/14,2014,3,19,Ciclo 2013-2014
197,27.19070625,-109.69145970000001,Roya Lineal,0.01,4/1/14,2014,4,1,Ciclo 2013-2014
198,27.19143486,-109.708046,Roya Lineal,0.01,3/6/14,2014,3,6,Ciclo 2013-2014
199,27.21166039,-109.70529170000002,Roya Lineal,0.01,3/6/14,2014,3,6,Ciclo 2013-2014
200,27.23010063,-109.7664871,Roya Lineal,0.01,2/26/14,2014,2,26,Ciclo 2013-2014
201,26.53888512,-109.142395,Roya Lineal,0.02,3/14/14,2014,3,14,Ciclo 2013-2014
202,26.53097534,-109.16872409999999,Roya Lineal,0.02,3/14/14,2014,3,14,Ciclo 2013-2014
203,26.47196579,-109.1913223,Roya Lineal,0.01,3/6/14,2014,3,6,Ciclo 2013-2014
204,26.47442818,-109.18787379999999,Roya Lineal,0.02,3/6/14,2014,3,6,Ciclo 2013-2014
205,26.48330307,-109.1890564,Roya Lineal,0.02,2/19/14,2014,2,19,Ciclo 2013-2014
206,26.47821999,-109.1691666,Roya Lineal,0.01,3/7/14,2014,3,7,Ciclo 2013-2014
207,26.52737045,-109.16841129999999,Roya Lineal,0.01,2/13/14,2014,2,13,Ciclo 2013-2014
208,26.528162,-109.17362209999999,Roya Lineal,0.01,3/5/14,2014,3,5,Ciclo 2013-2014
209,26.53013992,-109.15641780000001,Roya Lineal,0.01,4/10/14,2014,4,10,Ciclo 2013-2014
210,26.52643394,-109.15626529999999,Roya Lineal,0.01,3/14/14,2014,3,14,Ciclo 2013-2014
211,26.49977303,-109.17478940000001,Roya Lineal,0.02,3/13/14,2014,3,13,Ciclo 2013-2014
212,27.58896637,-110.0767822,Roya Lineal,0.01,3/14/14,2014,3,14,Ciclo 2013-2014
213,26.49895859,-109.1694489,Roya Lineal,0.01,3/5/14,2014,3,5,Ciclo 2013-2014
214,27.47861099,-110.3268585,Roya Lineal,0.05,3/14/14,2014,3,14,Ciclo 2013-2014
215,26.97138405,-109.7162018,Roya Lineal,0.07,2/25/14,2014,2,25,Ciclo 2013-2014
216,26.98027992,-109.70574189999999,Roya Lineal,0.02,2/25/14,2014,2,25,Ciclo 2013-2014
217,26.98196602,-109.69716640000001,Roya Lineal,0.02,2/25/14,2014,2,25,Ciclo 2013-2014
218,26.98824883,-109.61622620000001,Roya Lineal,0.09,2/21/14,2014,2,21,Ciclo 2013-2014
219,26.85145378,-109.7165756,Roya Lineal,0.01,2/18/14,2014,2,18,Ciclo 2013-2014
220,26.7831955,-109.70213319999999,Roya Lineal,0.05,3/5/14,2014,3,5,Ciclo 2013-2014
221,26.79257011,-109.69704440000001,Roya Lineal,0.04,3/5/14,2014,3,5,Ciclo 2013-2014
222,26.79855919,-109.76933290000001,Roya Lineal,0.02,3/13/14,2014,3,13,Ciclo 2013-2014
223,26.78960228,-109.7695389,Roya Lineal,0.01,2/26/14,2014,2,26,Ciclo 2013-2014
224,26.78623962,-109.7677765,Roya Lineal,0.01,3/5/14,2014,3,5,Ciclo 2013-2014
225,26.79747009,-109.68067930000001,Roya Lineal,0.01,3/6/14,2014,3,6,Ciclo 2013-2014
226,26.79915047,-109.66043090000001,Roya Lineal,0.01,2/13/14,2014,2,13,Ciclo 2013-2014
227,26.78279305,-109.66426090000002,Roya Lineal,0.01,2/13/14,2014,2,13,Ciclo 2013-2014
228,26.76155853,-109.6472855,Roya Lineal,0.01,2/13/14,2014,2,13,Ciclo 2013-2014
229,26.74942398,-109.66557309999999,Roya Lineal,0.05,3/13/14,2014,3,13,Ciclo 2013-2014
230,26.76174355,-109.5973358,Roya Lineal,0.01,2/7/14,2014,2,7,Ciclo 2013-2014
231,26.76277351,-109.6372223,Roya Lineal,0.02,2/28/14,2014,2,28,Ciclo 2013-2014
232,26.81771278,-109.6227646,Roya Lineal,0.06,3/7/14,2014,3,7,Ciclo 2013-2014
233,26.53690147,-109.14502720000002,Roya Lineal,0.01,3/14/14,2014,3,14,Ciclo 2013-2014
234,26.53936577,-109.16555020000001,Roya Lineal,0.03,3/14/14,2014,3,14,Ciclo 2013-2014
235,26.5024147,-109.17209629999999,Roya Lineal,0.01,3/13/14,2014,3,13,Ciclo 2013-2014
236,26.51846886,-109.1779022,Roya Lineal,0.01,3/5/14,2014,3,5,Ciclo 2013-2014
237,26.49506378,-109.17710109999999,Roya Lineal,0.01,3/6/14,2014,3,6,Ciclo 2013-2014
238,26.46106911,-109.1486435,Roya Lineal,0.01,3/7/14,2014,3,7,Ciclo 2013-2014
239,26.45351028,-109.1419678,Roya Lineal,0.01,3/7/14,2014,3,7,Ciclo 2013-2014
240,26.45170975,-109.1468277,Roya Lineal,0.01,2/21/14,2014,2,21,Ciclo 2013-2014
241,26.48400497,-109.12541200000001,Roya Lineal,0.04,3/13/14,2014,3,13,Ciclo 2013-2014
242,26.44041443,-109.1602249,Roya Lineal,0.01,3/20/14,2014,3,20,Ciclo 2013-2014
243,26.82449913,-109.61962890000001,Roya Lineal,0.05,3/7/14,2014,3,7,Ciclo 2013-2014
244,26.46215439,-109.1493149,Roya Lineal,0.01,3/13/14,2014,3,13,Ciclo 2013-2014
245,26.44279671,-109.2029419,Roya Lineal,0.01,3/13/14,2014,3,13,Ciclo 2013-2014
246,27.59178734,-110.2155304,Roya Lineal,0.01,3/15/14,2014,3,15,Ciclo 2013-2014
247,27.62611961,-110.29324340000001,Roya Lineal,0.07,3/7/14,2014,3,7,Ciclo 2013-2014
248,27.69950104,-110.46094509999999,Roya Lineal,0.05,3/13/14,2014,3,13,Ciclo 2013-2014
249,27.71372223,-110.4607315,Roya Lineal,0.02,3/13/14,2014,3,13,Ciclo 2013-2014
